id,source_type,criterion,band,text
descriptor_TR_9,descriptor,TR,9.0,"Task response band 9.0:
• fully addresses all parts of the task • presents a fully developed position in answer to the question with relevant, fully extended and well supported ideas"
descriptor_CC_9,descriptor,CC,9.0,"Coherence and cohesion band 9.0:
• uses cohesion in such a way that it attracts no attention • skilfully manages paragraphing"
descriptor_LR_9,descriptor,LR,9.0,"Lexical resource band 9.0:
• uses a wide range of vocabulary with very natural and sophisticated control of lexical features; rare minor errors occur only as ‘slips’"
descriptor_GRA_9,descriptor,GRA,9.0,"Grammatical range and accuracy band 9.0:
• uses a wide range of structures with full flexibility and accuracy; rare minor errors occur only as ‘slips’"
descriptor_TR_8,descriptor,TR,8.0,"Task response band 8.0:
• sufficiently addresses all parts of the task • presents a well-developed response to the question with relevant, extended and supported ideas"
descriptor_CC_8,descriptor,CC,8.0,"Coherence and cohesion band 8.0:
• sequences information and ideas logically • manages all aspects of cohesion well • uses paragraphing sufficiently and appropriately"
descriptor_LR_8,descriptor,LR,8.0,"Lexical resource band 8.0:
• uses a wide range of vocabulary fluently and flexibly to convey precise meanings • skilfully uses uncommon lexical items but there may be occasional inaccuracies in word choice and collocation • produces rare errors in spelling and/or word formation"
descriptor_GRA_8,descriptor,GRA,8.0,"Grammatical range and accuracy band 8.0:
• uses a wide range of structures • the majority of sentences are error-free • makes only very occasional errors or inappropriacies"
descriptor_TR_7,descriptor,TR,7.0,"Task response band 7.0:
• addresses all parts of the task • presents a clear position throughout the response • presents, extends and supports main ideas, but there may be a tendency to over-generalise and/or supporting ideas may lack focus"
descriptor_CC_7,descriptor,CC,7.0,"Coherence and cohesion band 7.0:
• logically organises information and ideas; there is clear progression throughout • uses a range of cohesive devices appropriately although there may be some under-/over-use • presents a clear central topic within each paragraph"
descriptor_LR_7,descriptor,LR,7.0,"Lexical resource band 7.0:
• uses a sufficient range of vocabulary to allow some flexibility and precision • uses less common lexical items with some awareness of style and collocation • may produce occasional errors in word choice, spelling and/or word formation"
descriptor_GRA_7,descriptor,GRA,7.0,"Grammatical range and accuracy band 7.0:
• uses a variety of complex structures • produces frequent error-free sentences • has good control of grammar and punctuation but may make a few errors"
descriptor_TR_6,descriptor,TR,6.0,"Task response band 6.0:
• addresses all parts of the task although some parts may be more fully covered than others • presents a relevant position although the conclusions may become unclear or repetitive • presents relevant main ideas but some may be inadequately developed/unclear"
descriptor_CC_6,descriptor,CC,6.0,"Coherence and cohesion band 6.0:
• arranges information and ideas coherently and there is a clear overall progression • uses cohesive devices effectively, but cohesion within and/or between sentences may be faulty or mechanical • may not always use referencing clearly or appropriately • uses paragraphing, but not always logically"
descriptor_LR_6,descriptor,LR,6.0,"Lexical resource band 6.0:
• uses an adequate range of vocabulary for the task • attempts to use less common vocabulary but with some inaccuracy • makes some errors in spelling and/or word formation, but they do not impede communication"
descriptor_GRA_6,descriptor,GRA,6.0,"Grammatical range and accuracy band 6.0:
• uses a mix of simple and complex sentence forms • makes some errors in grammar and punctuation but they rarely reduce communication"
descriptor_TR_5,descriptor,TR,5.0,"Task response band 5.0:
• addresses the task only partially; the format may be inappropriate in places • expresses a position but the development is not always clear and there may be no conclusions drawn • presents some main ideas but these are limited and not sufficiently developed; there may be irrelevant detail"
descriptor_CC_5,descriptor,CC,5.0,"Coherence and cohesion band 5.0:
• presents information with some organisation but there may be a lack of overall progression • makes inadequate, inaccurate or over-use of cohesive devices • may be repetitive because of lack of referencing and substitution • may not write in paragraphs, or paragraphing may be inadequate"
descriptor_LR_5,descriptor,LR,5.0,"Lexical resource band 5.0:
• uses a limited range of vocabulary, but this is minimally adequate for the task • may make noticeable errors in spelling and/or word formation that may cause some difficulty for the reader"
descriptor_GRA_5,descriptor,GRA,5.0,"Grammatical range and accuracy band 5.0:
• uses only a limited range of structures • attempts complex sentences but these tend to be less accurate than simple sentences • may make frequent grammatical errors and punctuation may be faulty; errors can cause some difficulty for the reader"
descriptor_TR_4,descriptor,TR,4.0,"Task response band 4.0:
• responds to the task only in a minimal way or the answer is tangential; the format may be inappropriate • presents a position but this is unclear • presents some main ideas but these are difficult to identify and may be repetitive, irrelevant or not well supported"
descriptor_CC_4,descriptor,CC,4.0,"Coherence and cohesion band 4.0:
• presents information and ideas but these are not arranged coherently and there is no clear progression in the response • uses some basic cohesive devices but these may be inaccurate or repetitive • may not write in paragraphs or their use may be confusing"
descriptor_LR_4,descriptor,LR,4.0,"Lexical resource band 4.0:
• uses only basic vocabulary which may be used repetitively or which may be inappropriate for the task • has limited control of word formation and/or spelling; errors may cause strain for the reader"
descriptor_GRA_4,descriptor,GRA,4.0,"Grammatical range and accuracy band 4.0:
• uses only a very limited range of structures with only rare use of subordinate clauses • some structures are accurate but errors predominate, and punctuation is often faulty"
descriptor_TR_3,descriptor,TR,3.0,"Task response band 3.0:
• does not adequately address any part of the task • does not express a clear position • presents few ideas, which are largely undeveloped or irrelevant"
descriptor_CC_3,descriptor,CC,3.0,"Coherence and cohesion band 3.0:
• does not organise ideas logically • may use a very limited range of cohesive devices, and those used may not indicate a logical relationship between ideas"
descriptor_LR_3,descriptor,LR,3.0,"Lexical resource band 3.0:
• uses only a very limited range of words and expressions with very limited control of word formation and/or spelling • errors may severely distort the message"
descriptor_GRA_3,descriptor,GRA,3.0,"Grammatical range and accuracy band 3.0:
• attempts sentence forms but errors in grammar and punctuation predominate and distort the meaning"
